bookid,title,price,isbn,pages,publisherId,imagesurl
cea86a1615,Oath and Honor: A Memoir and a Warning,29.25,978876048517,130,6bdd3d08a5efb439a9400ced11541b85b40bd4537d91159c0ab2b754f3637212,https://prodimage.images-bn.com/pimages/9780316572064_p0_v2_s452x700.jpg
9dcc54dd1e,"Friends, Lovers, and the Big Terrible Thing: A Memoir",23.99,979757748381,374,6bdd3d08a5efb439a9400ced11541b85b40bd4537d91159c0ab2b754f3637212,https://prodimage.images-bn.com/pimages/9781250866448_p0_v6_s460x700.jpg
e2cbca8b21,Heaven Official's Blessing: Tian Guan Ci Fu (Novel) Vol. 8 (Special Edition),23.99,978112657215,451,6bdd3d08a5efb439a9400ced11541b85b40bd4537d91159c0ab2b754f3637212,https://prodimage.images-bn.com/pimages/9781685798468_p0_v3_s500x700.jpg
0ee42ed515,The Heaven & Earth Grocery Store (2023 B&N Book of the Year),25.20,978717757194,219,f6850092ebcc4b9b560c10561e336d0753d0c84b72ee1578fde2465434238c11,https://prodimage.images-bn.com/pimages/9780593422946_p0_v9_s463x700.jpg
8647578b93,Jujutsu Kaisen Box Set Vols. 1-4 (B&N Exclusive Edition),19.98,979218983200,882,c091a9ebb8e6a7a85673ee23e63749211963b1752e7dcd098f60a9ffab92e990,https://prodimage.images-bn.com/pimages/9781974737109_p0_v1_s444x700.jpg
adf565eb37,The Hunger Games Trilogy Boxset (Paperback Classic Collection),27.27,979109156550,118,a4e816b10a0f5d77a745069ccb8e7410cc3ffb296b59854d13d0777e85584d6f,https://prodimage.images-bn.com/pimages/9780545670319_p0_v3_s462x700.jpg
0614ddc2d3,Scout Elf Carrier,10.95,979467810459,823,5bba95a3dc4b8765875e85ffa7e9336f12d8152de3acc41a2ce3822879a2e832,https://prodimage.images-bn.com/pimages/0814854014645_p0_v1_s385x700.jpg
0b640a2963,House of Flame and Shadow (Crescent City Series #3),27.20,978228189329,403,d821a9b83acd0c1a2847162d1f7992533888311d030c1accf3babe536ab5f713,https://prodimage.images-bn.com/pimages/9781635574104_p0_v7_s455x700.jpg
a5ebe2e2d2,The Ballad of Songbirds and Snakes (Hunger Games Series Prequel),21.99,978246763719,373,aad0d21981013dcc85f9fcf00ce77c971d2f694c75a948f99467e6285bb8551c,https://prodimage.images-bn.com/pimages/9781338635171_p0_v5_s461x700.jpg
5115bd6ff4,The Bee Sting,30.00,979397320323,954,6bdd3d08a5efb439a9400ced11541b85b40bd4537d91159c0ab2b754f3637212,https://prodimage.images-bn.com/pimages/9780374600303_p0_v1_s456x700.jpg
273c45e050,Killers of the Flower Moon: The Osage Murders and the Birth of the FBI,14.49,979319853294,610,6bdd3d08a5efb439a9400ced11541b85b40bd4537d91159c0ab2b754f3637212,https://prodimage.images-bn.com/pimages/9780307742483_p0_v10_s454x700.jpg
525d06a890,Iron Flame,29.99,978416453138,129,d821a9b83acd0c1a2847162d1f7992533888311d030c1accf3babe536ab5f713,https://prodimage.images-bn.com/pimages/9781649374172_p0_v18_s433x700.jpg
7d99373cb2,"The Wager: A Tale of Shipwreck, Mutiny and Murder (2023 B&N Author of the Year)",27.00,978173269951,180,a4e816b10a0f5d77a745069ccb8e7410cc3ffb296b59854d13d0777e85584d6f,https://prodimage.images-bn.com/pimages/9780385534260_p0_v2_s460x700.jpg
1901aa0b45,All the Light We Cannot See (Pulitzer Prize Winner),15.98,978227093724,759,f6850092ebcc4b9b560c10561e336d0753d0c84b72ee1578fde2465434238c11,https://prodimage.images-bn.com/pimages/9781501173219_p0_v10_s459x700.jpg
b59310a27a,Percy Jackson and the Olympians 5 Book Paperback Boxed Set (new covers) (B&N Exclusive Edition),31.46,978536266406,705,aad0d21981013dcc85f9fcf00ce77c971d2f694c75a948f99467e6285bb8551c,https://prodimage.images-bn.com/pimages/9781368098014_p0_v2_s547x700.jpg
47d126f5aa,Fourth Wing,29.99,978987222378,819,a4e816b10a0f5d77a745069ccb8e7410cc3ffb296b59854d13d0777e85584d6f,https://prodimage.images-bn.com/pimages/9781649374042_p0_v9_s433x700.jpg
3edcc009d3,The Berry Pickers (B&N Discover Prize Winner),27.00,979105684773,523,5bba95a3dc4b8765875e85ffa7e9336f12d8152de3acc41a2ce3822879a2e832,https://prodimage.images-bn.com/pimages/9781646221950_p0_v2_s466x700.jpg
7b8c9ceb46,Murtagh: The World of Eragon (Signed Book),29.99,979566977650,458,d821a9b83acd0c1a2847162d1f7992533888311d030c1accf3babe536ab5f713,https://prodimage.images-bn.com/pimages/9780593805459_p0_v1_s448x700.jpg
d7679b474c,Ruthless Vows (B&N Exclusive Edition),18.00,978469965230,424,6bdd3d08a5efb439a9400ced11541b85b40bd4537d91159c0ab2b754f3637212,https://prodimage.images-bn.com/pimages/9781250350923_p0_v1_s460x700.jpg
12e26749f7,Heaven Official's Blessing: Tian Guan Ci Fu (Novel) Vol. 8 (B&N Exclusive Edition),15.99,979220601489,220,d821a9b83acd0c1a2847162d1f7992533888311d030c1accf3babe536ab5f713,https://prodimage.images-bn.com/pimages/9781685798451_p0_v4_s499x700.jpg
2e3608d915,The Elf on the Shelf: A Christmas Tradition (includes blue-eyed boy scout elf),32.95,978786856506,424,caf4955608ab530a6e7e58f6c59833e9826504827194ca7ab2343848df7ebd3b,https://prodimage.images-bn.com/pimages/9780976990703_p0_v10_s571x700.jpg
5d61e92b07,House of Earth and Blood (B&N Exclusive Edition) (Crescent City Series #1),19.00,979806784256,249,c091a9ebb8e6a7a85673ee23e63749211963b1752e7dcd098f60a9ffab92e990,https://prodimage.images-bn.com/pimages/9781639733286_p0_v1_s481x700.jpg
11d0f40211,Powerless,17.99,979192453846,698,aad0d21981013dcc85f9fcf00ce77c971d2f694c75a948f99467e6285bb8551c,https://prodimage.images-bn.com/pimages/9781665954884_p0_v7_s463x700.jpg
46a129cd9d,The Elf on the Shelf: A Christmas Tradition (includes blue-eyed girl scout elf),32.95,979614690861,881,6bdd3d08a5efb439a9400ced11541b85b40bd4537d91159c0ab2b754f3637212,https://prodimage.images-bn.com/pimages/9780984365173_p0_v7_s530x700.jpg
ce47207e88,Influencers (B&N Exclusive Edition) (Cat Kid Comic Club #5),9.09,979451098787,440,6bdd3d08a5efb439a9400ced11541b85b40bd4537d91159c0ab2b754f3637212,https://prodimage.images-bn.com/pimages/9781339034768_p0_v2_s472x700.jpg
edba95628c,The Great Disappearance: 31 Ways to be Rapture Ready,29.99,978378654010,897,a4e816b10a0f5d77a745069ccb8e7410cc3ffb296b59854d13d0777e85584d6f,https://prodimage.images-bn.com/pimages/9780785252245_p0_v3_s398x598.jpg
821a1ba0fb,House of Sky and Breath (B&N Exclusive Edition) (Crescent City Series #2),19.00,978569679569,322,a4e816b10a0f5d77a745069ccb8e7410cc3ffb296b59854d13d0777e85584d6f,https://prodimage.images-bn.com/pimages/9781639732876_p0_v1_s481x700.jpg
2a660130ab,North Woods,28.00,979188706929,990,c091a9ebb8e6a7a85673ee23e63749211963b1752e7dcd098f60a9ffab92e990,https://prodimage.images-bn.com/pimages/9780593597033_p0_v2_s466x700.jpg
116746ac86,"Six of Crows Boxed Set: Six of Crows, Crooked Kingdom",16.78,979324835052,223,aad0d21981013dcc85f9fcf00ce77c971d2f694c75a948f99467e6285bb8551c,https://prodimage.images-bn.com/pimages/9781250211101_p0_v3_s700x700.jpg
5b8593c296,"The Hunger Games 4-Book Paperback Box Set (The Hunger Games, Catching Fire, Mockingjay, the Ballad of Songbirds and Snakes)",55.76,979218108423,581,d821a9b83acd0c1a2847162d1f7992533888311d030c1accf3babe536ab5f713,https://prodimage.images-bn.com/pimages/9781339042657_p0_v2_s581x700.jpg
53128aaaaa,The Body,12.50,978993654897,490,c091a9ebb8e6a7a85673ee23e63749211963b1752e7dcd098f60a9ffab92e990,https://prodimage.images-bn.com/pimages/9781982103538_p0_v10_s459x700.jpg
7e312a8ade,The Exchange: After The Firm,20.96,978961056949,435,d821a9b83acd0c1a2847162d1f7992533888311d030c1accf3babe536ab5f713,https://prodimage.images-bn.com/pimages/9780385548953_p0_v2_s417x667.jpg
3d781233f9,My Name Is Barbra,42.30,978274528038,187,aad0d21981013dcc85f9fcf00ce77c971d2f694c75a948f99467e6285bb8551c,https://prodimage.images-bn.com/pimages/9780525429524_p0_v5_s460x700.jpg
ed135ef5ad,The Woman in Me,26.39,979150251060,242,d821a9b83acd0c1a2847162d1f7992533888311d030c1accf3babe536ab5f713,https://prodimage.images-bn.com/pimages/9781668009048_p0_v5_s461x700.jpg
f2499f229b,Tabitha & the Happiness,10.99,978306252358,282,caf4955608ab530a6e7e58f6c59833e9826504827194ca7ab2343848df7ebd3b,https://prodimage.images-bn.com/pimages/9781839349324_p0_v1_s700x700.jpg
f7a084914e,"The Shadow and Bone Trilogy Boxed Set: Shadow and Bone, Siege and Storm, Ruin and Rising",23.07,978114136856,995,f6850092ebcc4b9b560c10561e336d0753d0c84b72ee1578fde2465434238c11,https://prodimage.images-bn.com/pimages/9781250196231_p0_v4_s432x700.jpg
603047eca7,The Chalice of the Gods (B&N Exclusive Edition) (Percy Jackson and the Olympians),15.99,979997103406,856,c091a9ebb8e6a7a85673ee23e63749211963b1752e7dcd098f60a9ffab92e990,https://prodimage.images-bn.com/pimages/9781368099370_p0_v2_s464x700.jpg
551e33ba8c,"Invincible Compendium, Volume 1",57.99,979776852557,730,a4e816b10a0f5d77a745069ccb8e7410cc3ffb296b59854d13d0777e85584d6f,https://prodimage.images-bn.com/pimages/9781607064114_p0_v2_s456x700.jpg
3020dcb9ca,Don't Let the Pigeon Drive the Sleigh! (B&N Exclusive Edition),16.14,978915964525,152,f6850092ebcc4b9b560c10561e336d0753d0c84b72ee1578fde2465434238c11,https://prodimage.images-bn.com/pimages/9781454954200_p0_v4_s700x700.jpg
0eb691002f,A Court of Thorns and Roses Paperback Box Set (5 books),65.10,979506208400,798,6bdd3d08a5efb439a9400ced11541b85b40bd4537d91159c0ab2b754f3637212,https://prodimage.images-bn.com/pimages/9781639730193_p0_v1_s700x614.jpg
e51b58ddc2,Master Slave Husband Wife: An Epic Journey from Slavery to Freedom,26.99,978707667823,882,caf4955608ab530a6e7e58f6c59833e9826504827194ca7ab2343848df7ebd3b,https://prodimage.images-bn.com/pimages/9781501191053_p0_v3_s464x700.jpg
81d382c127,The Do-Over (B&N Exclusive Edition),11.69,979645874917,743,c091a9ebb8e6a7a85673ee23e63749211963b1752e7dcd098f60a9ffab92e990,https://prodimage.images-bn.com/pimages/9781665951388_p0_v1_s402x700.jpg
d581328170,Prequel: An American Fight Against Fascism,28.80,979388240532,815,5bba95a3dc4b8765875e85ffa7e9336f12d8152de3acc41a2ce3822879a2e832,https://prodimage.images-bn.com/pimages/9780593444511_p0_v1_s461x700.jpg
e4506cf2ed,Throne of Glass Box Set,171.50,979494990121,293,c091a9ebb8e6a7a85673ee23e63749211963b1752e7dcd098f60a9ffab92e990,https://prodimage.images-bn.com/pimages/9781639731763_p0_v3_s653x700.jpg
241c0609f6,To Kill a Shadow,19.99,978808711121,328,6bdd3d08a5efb439a9400ced11541b85b40bd4537d91159c0ab2b754f3637212,https://prodimage.images-bn.com/pimages/9781649374318_p0_v3_s432x700.jpg
6af3583297,Scott Pilgrim Vol. 2: Scott Pilgrim vs. the World,14.99,979281106843,386,a4e816b10a0f5d77a745069ccb8e7410cc3ffb296b59854d13d0777e85584d6f,https://prodimage.images-bn.com/pimages/9781932664126_p0_v3_s470x700.jpg
411c38ee70,Scott Pilgrim Vol. 1: Scott Pilgrim's Precious Little Life,14.99,978798648885,344,d821a9b83acd0c1a2847162d1f7992533888311d030c1accf3babe536ab5f713,https://prodimage.images-bn.com/pimages/9781932664089_p0_v3_s470x700.jpg
d9afac49f7,Alex Cross Must Die: A Thriller,21.00,979275451537,152,aad0d21981013dcc85f9fcf00ce77c971d2f694c75a948f99467e6285bb8551c,https://prodimage.images-bn.com/pimages/9780316402484_p0_v3_s451x700.jpg
5de61602a2,No Brainer (Diary of a Wimpy Kid Series #18),10.49,978855428117,304,6bdd3d08a5efb439a9400ced11541b85b40bd4537d91159c0ab2b754f3637212,https://prodimage.images-bn.com/pimages/9781419766947_p0_v3_s431x700.jpg
229767dfc1,The Ashes and the Star-Cursed King (Signed Book),29.99,979659287791,862,f6850092ebcc4b9b560c10561e336d0753d0c84b72ee1578fde2465434238c11,https://prodimage.images-bn.com/pimages/9781250354907_p0_v1_s452x700.jpg
f128a05d86,I Spy Christmas,13.49,979822872083,128,6bdd3d08a5efb439a9400ced11541b85b40bd4537d91159c0ab2b754f3637212,https://prodimage.images-bn.com/pimages/9781338332582_p0_v3_s513x700.jpg
aa4e9e7989,"Invincible Compendium, Volume 2",59.99,979783216890,981,caf4955608ab530a6e7e58f6c59833e9826504827194ca7ab2343848df7ebd3b,https://prodimage.images-bn.com/pimages/9781607067726_p0_v3_s455x700.jpg
8e78288c4b,Scott Pilgrim Vol. 3: Scott Pilgrim and the Infinite Sadness,13.99,978322443209,152,c091a9ebb8e6a7a85673ee23e63749211963b1752e7dcd098f60a9ffab92e990,https://prodimage.images-bn.com/pimages/9781932664225_p0_v3_s470x700.jpg
0385874e13,"Ghosts of Honolulu: A Japanese Spy, a Japanese American Spy Hunter, and the Untold Story of Pearl Harbor",26.99,979247540702,239,5bba95a3dc4b8765875e85ffa7e9336f12d8152de3acc41a2ce3822879a2e832,https://prodimage.images-bn.com/pimages/9781400337019_p0_v3_s466x700.jpg
a6f4dc40d4,Visions of Flesh and Blood: A Blood and Ash/Flesh and Fire Compendium (B&N Exclusive Edition),28.79,978555150238,155,d821a9b83acd0c1a2847162d1f7992533888311d030c1accf3babe536ab5f713,https://prodimage.images-bn.com/pimages/9781957568843_p0_v4_s466x700.jpg
aa9480afee,Heaven Official's Blessing: Tian Guan Ci Fu (Novel) Vol. 7,15.99,978752701313,443,c091a9ebb8e6a7a85673ee23e63749211963b1752e7dcd098f60a9ffab92e990,https://prodimage.images-bn.com/pimages/9781638585527_p0_v2_s504x700.jpg
ccbb050f18,Divine Rivals: A Novel,18.99,979727160096,958,d821a9b83acd0c1a2847162d1f7992533888311d030c1accf3babe536ab5f713,https://prodimage.images-bn.com/pimages/9781250857439_p0_v5_s460x700.jpg
f95f0c025e,Poor Charlie's Almanack: The Essential Wit and Wisdom of Charles T. Munger,30.00,978631538679,839,d821a9b83acd0c1a2847162d1f7992533888311d030c1accf3babe536ab5f713,https://prodimage.images-bn.com/pimages/9781953953230_p0_v3_s491x700.jpg
cede3fa517,"Heartstopper, Volume 5",14.39,979922534910,192,c091a9ebb8e6a7a85673ee23e63749211963b1752e7dcd098f60a9ffab92e990,https://prodimage.images-bn.com/pimages/9781338807486_p0_v3_s466x700.jpg
59cdd3bb45,Elmore the Christmas Moose (B&N Exclusive Edition),18.99,979588620204,208,6bdd3d08a5efb439a9400ced11541b85b40bd4537d91159c0ab2b754f3637212,https://prodimage.images-bn.com/pimages/9780593707456_p0_v9_s348x348.jpg
